duplicate_row_number,term,definition,first_seen_term,first_seen_definition,same_definition
2667,CORPORATE BUYERS,"Buyers operating at the corporate level
with a global sourcing responsibility
for key commodities. It is their
job to negotiate for large volumes
of products and components (in
the case of raw materials), large
investment projects and services.",Corporate Buyers,"Buyers operating at the corporate level with global sourcing responsibilities for key commodities. It is their job to negotiate for large volumes of products and components (in the case of raw materials), large investment projects, and services.",false
2672,CORPORATE SOCIAL RESPONSIBILITY,"How to contribute to a better world,
a better environment and better
labour conditions. The idea is to
develop business solutions in such a
way that requirements of the current
world population are met without
doing harm to the needs of future
generations. Companies need to
balance the interests of customers,
employees, the environment and
its shareholders, i.e. serving the
needs of 'people, planet, profit'.",Corporate Social Responsibility,"How business takes account of its economic, social, and environmental impacts.",false
2689,CoS,Abbreviation for: Cost-of-Sales.,COS,Abbreviation for: Class of Service.,false
2692,Cost Accounting,"The discipline of estimating, tracking, and controlling product and service costs. Accurate cost analysis helps provide the basis for make/buy decisions, market entry and exit, product and process changes, and many other measures and factors involved in organizational success.",COST ACCOUNTING,"The discipline of estimating, tracking, and controlling product and service costs. Accurate cost analysis helps provide the basis for make/buy decisions, market entry and exit, product and process changes, and many other measures and factors involved in organisational success.",false
2697,COST AVOIDANCE,"(1)  An action taken in the immediate time
frame that will decrease costs in the
future. For example, an engineering
improvement that increases the
mean time between failure (MTBF)
and thereby decreases operating
support costs can be described as a
cost avoidance action. It is possible
for the engineering change to incur
higher costs in the immediate time
frame; however, if the net total Life
Cycle Cost (LCC) is less, it is a cost
avoidance action. The amount of
the cost avoidance is determined
as the difference between two
estimated cost patterns, one before
the change and the one after.
(2)  Actions taken to avoid having to
pay some sort of cost—this could
be financial (i.e. by negotiating an
extension to current prices when
the entity becomes aware that price
in resource terms (i.e. the use of
cooperative arrangements mean
the organisation “avoids” the time
and work involved in completing
a bidding or contracting exercise
on its own behalf). Well defined
specifications and value analysis
will help to avoid extraneous costs.",Cost Avoidance,Cost avoidance is a variance between the historical and the actual purchase price paid per unit. A cost avoidance is not considered to be sustainable.,false
2699,Cost Avoidance Savings,"Warranty / guarantee cost, additional installation or repair and maintenance costs not necessary for the competitors' products.",COST AVOIDANCE SAVINGS,"Warranty / guarantee cost, additional installation or repair and maintenance costs not necessary for the competitors’ products.",false
2701,Cost Breakdown,The detailed analysis of the contractor's pricing that may include overhead and profit.,COST BREAKDOWN,The detailed analysis of the contractor’s pricing that may include overhead and profit.,false
2704,COST DRIVER,"The factors or triggers that cause
costs to be incurred or resources
to be consumed. In order to reduce
the costs of a particular activity,
one must first understand the
various drivers of those costs.COST ELEMENT
A direct or indirect cost of providing
a good, service, or construction,
such as labor, materials,
fringe benefits, or travel.",Cost Driver,"A factor related to an activity that changes the volume or characteristics of that activity, and in doing so changes its costs. Activities can have multiple cost drivers.",false
2707,Cost Effectiveness,A measure of the operational capability added by a system as a function of its Life Cycle Cost (LC;-C).,COST EFFECTIVENESS,A measure of the operational capability added by a system as a function of its Life Cycle Cost (LC;-C).,true
2710,Cost Estimate,"A forecast amount as distinguished from an actual outlay, based upon related cost information available at the time and anticipated future conditions. The process of calculating the probable cost of a job.",COST ESTIMATE,"A forecast amount as distinguished from an actual outlay, based upon related cost information available at the time and anticipated future conditions. The process of calculating the probable cost of a job.",true
2721,COST OF GOODS SOLD (COGS),"The actual cost of all items sold in a
department (or entire store) during an
Accounting Cycle. COGS includes the
cost of an item plus freight, minus any
purchase discounts. COGS is computed
by: Beg. Inventory + Purchases - End.
Inventory = COGS. Stated simply:
We already had this much inventory,
we added this much to it (through
purchasing), we still have this much
inventory, the difference must represent
the cost of what we actually sold.
Example:
Beg. Inv. = $15,000, Purchases =",Cost of Goods Sold (COGS),"The costs associated with the design and manufacture of a product such as direct material, direct labor, and allocated overhead. They do not include selling and general administrative costs.",false
2736,COST REDUCTIONS,"Purchasing cost reductions are sustainable in character. These may be the result from a change of the specification, a change of supplier, or omitting an unnecessary product quality requirement.",Cost Reductions,"Purchasing cost reductions are sustainable in character. These may result from a change of the specification, a change of supplier, or omitting an unnecessary product quality requirement.",false
2745,COST-BASED PRICING,"A method in which a fixed sum or
percentage of the total cost is added
as an income or profit to the cost of the
product to arrive at its selling price.",Cost-based Pricing,"The supplier’s sales price is derived directly from its cost price: what most systems boil down to is that a particular profit margin is added to all costs, including the costs of sales (mark-up pricing).",false
2747,Cost-Benefit Analysis,"An analytic technique that compares the costs and benefits of investments, programs, or policy actions in order to determine which alternative or alternatives maximize net profits. Net benefits of an alternative are determined by subtracting the present value of costs from the present value of benefits. A comparative evaluation of the trade-off between the cost of a good or service and the value or benefit to be obtained in order to choose among alternatives.",COST-BENEFIT ANALYSIS,"An analytic technique that compares the costs and benefits of investments, programs, or policy actions in order to determine which alternative or alternatives maximize net profits. Net benefits of an alternative are determined by subtracting the present value of costs from the present value of benefits. A comparative evaluation of the trade-off between the cost of a good or service and the value or benefit to be obtained in order to choose among alternatives.",true
2791,CRADLE-TO-GRAVE,"A representation of the life cycle of a
given system, from concept through
development, acquisition, operations
phases and final disposition. This term
is also used when speaking about the
generation and disposal of hazardous
waste. Also called womb-to-tomb and
referred to as the purchasing cycle.",Cradle-to-Grave,"Logistics planning, design, and support throughout the entire system life cycle.",false
2793,CRAFT,"Computerised Relative Allocation of Facilities Technique. A heuristic technique for developing good, but non-optimal, solutions.",Craft,"A boat, ship, or airplane.",false
2804,Credit,"In monetary theory, the use of someone else's assets in exchange for a promise to pay (usually with interest) at a later date. The major examples are short- term loans from a bank, credit extended by a supplier, and commercial paper. In balance of payment accounting, an item such as exports that earns a country foreign currency. A credit note is issued in various situations to correct a mistake, such as when (1) an invoice amount is overstated, (2) correct discount rate is not applied, (3) goods spoil within guaranty period, or (4) they do not meet the buyer's specifications and are returned. Also called credit memo. Credit Note is a commercial instrument which is issued by the seller of goods and services to the purchaser if goods and services are returned back",CREDIT,"In monetary theory, the use of someone else’s assets in exchange for a promise to pay (usually with interest) at a later date. The major examples are shortterm loans from a bank, credit extended by a supplier, and commercial paper. In balance of payment accounting, an item such as exports that earns a country foreign currency.",false
2812,Creditor,"A lender, whether by making a loan, buying a bond or allowing money owed now to be paid.",CREDITOR,"A lender, whether by making a
loan, buying a bond or allowing
money owed now to be paid.",false
2816,Criteria,"When evaluating offers, weighted factor analysis can be used to assess competing offers against a variety of criteria. A number of criteria are proposed, usually including cost, quality, time, service and other relevant factors, and each criterion is weighted with a relative weighting to value its importance in the decision-making process. Offers are then scored against the weighted criteria to identify the best value outcome overall.",CRITERIA,"When evaluating offers, weighted factor analysis can be used to assess competing offers against a variety of criteria. A number of criteria are proposed, usually including cost, quality, time, service and other relevant factors, and each criterion is weighted with a relative weighting to value its importance in the decision-making process. Offers are then scored against the weighted criteria to identify the best value outcome overall.",true
2834,CROSS SOURCING,"A sourcing strategy in which a
company uses a single supplier for one
particular part or service and another
supplier with the same capabilities
for a different part or service, with the
understanding that each supplier can
act as a backup for the other supplier.",Cross Sourcing,"A sourcing strategy in which a company uses a single supplier for one particular part or service and another supplier with the same capabilities for a different part or service, with the understanding that each supplier can act as a backup for the other supplier",false
2936,Customer Order Cycle Time,(1) Measures how long it takes to deliver a customer order after the purchase order (PO) is received. (2) Actual delivery date —Purchase order creation date.,CUSTOMER ORDER CYCLE TIME,(1) Measures how long it takes to deliver a customer order after the purchase order (PO) is received. (2) Actual delivery date— Purchase order creation date.,false
2939,CUSTOMER ORDER DECOUPLING POINT (CODP),The point in the supply chain where a production order becomes customerspecific. Downstream of this point activities are planned based upon customer order and further downstream activities are planned based on forecast,Customer Order Decoupling Point (CODP),"The point in the supply chain where a production order becomes customer-specific. Downstream of this point, activities are planned based upon customer order and further downstream activities are planned based on forecast.",false
3009,CYCLE TIME,"(1)  The elapsed time it takes for an
activity or a process to transform
an input into an output. Cycle
time, or how quickly companies
can translate customer needs
into products or services, has
been touted as a key competitive
advantage in most industries.
(2) Cycle Time = Actual Ship
Date – Customer Order Date.",Cycle Time,"The total time required to complete a transformation from one status to another. Total cycle time is composed of many elements, often broken into active (running or operating) time and idle (queue or wait) time.",false
3046,DASHBOARD,"In procurement, dashboards provide
company-wide spend information
and analysis using easy-to-interpret
data visuals. Usually, dashboards
highlight KPI results along with both,
financial and non-financial reports.",Dashboard,"A performance measurement tool used to capture a summary of the Key Performance Indicators/metrics of a company. Metrics dashboards/scorecards should be easy to read and usually have “red, yellow, green” indicators to flag when the company is not meeting its targets for its metrics. Ideally, a dashboard/scorecard should be cross-functional in nature and include both financial and non-financial measures. In addition, scorecards should be reviewed regularly – at least on a monthly basis and weekly in key functions such as manufacturing and distribution where activities are critical to the success of a company. The dashboard/scorecards philosophy can also be applied to external supply chain partners, such as suppliers, to ensure that supplier’s objectives and practices align.",false
3049,DATA,"All aspects of factual information,
especially information organized
for analysis or used to reason or
make decisions, associated with
managing retail facilities.",Data,Information or a set of facts presented in symbolic (descriptive or graphic) form.,false
3085,Days In Turns,"Number of days it takes to sell the entire inventory of a given department, or the total store. This",DAYS IN TURNS,"Number of days it takes to sell the entire inventory of a given department, or the total store. This is an Inventory Productivity ratio. Days in turns is computed by: Days in the Accounting Cycle divided by Inventory Turnover ratio. Example: Inventory Turnover = 12. Annual Accounting Cycle of 365 days. 365 / 12 = 30.42 (rounded to 30 days in turns.) Actual data is compared to industry targets and store historical performance for analysis.",false
3087,Days Sales Outstanding,A measure of how quickly revenue can be collected from customers. (Receivables/Sales) * Days in Period.,DAYS SALES OUTSTANDING,"A measure of how quickly revenue
can be collected from customers.
(Receivables/Sales) * Days in Period.DAYS SUPPLY
(1)  Measure of quantity of inventory-
on-hand, in relation to number of
days for usage that will be covered.
(2)  Calculated by dividing the average
inventory on hand (as value) by the
average monthly demand (as value)
and then multiplying it by thirty, when
measuring on a monthly basis.",false
3113,De-Industrialisation,The erosion a nation's local industrial activity through the uncontrollable importation of the country's needs be it industrial or consumer.,DE-INDUSTRIALISATION,The erosion a nation’s local industrial activity through the uncontrollable importation of the country’s needs be it industrial or consumer.,false
3141,DECENTRALISED PURCHASING,It refers to purchasing by many agencies within an organisation rather than one central agency looking after all purchasing.,Decentralised Purchasing,It refers to purchasing by many agencies within an organisation rather than one central agency looking after all purchasing.,true
3166,Default,Failure by a party to a contract to comply with contractual requirements.,DEFAULT,Failure by a party to a contract to comply with contractual requirements.,true
3187,DELIVERY,"The activities that plan and
control the transfer of products
and services to customers.",Delivery,The process of transferring products or services to customers.,false
3224,DEMAND MANAGEMENT,"The utilization of purchasing policy
mandate, user education and
communication, marketing and
promotions to alter/modify current
purchasing behavior in order to
achieve a more desirable outcome.",Demand Management,"The proactive compilation of requirements information regarding demand (i.e., customers, sales, marketing, finance) and the firm’s capabilities from the supply side (i.e., supply, operations, and logistics management); the development of a consensus regarding the ability to match the requirements and capabilities; and the agreement upon a synthesised plan that can most effectively meet the customer requirements within the constraints imposed by supply chain capabilities.",false
3237,DEMAND SUPPLY BALANCING,"The process of identifying and
measuring the gaps and imbalances
between demand and resources in
order to determine how to best resolve
the variances through marketing,
pricing, packaging, warehousing,
outsource plans, or some other action
that will optimise service, flexibility,
costs, assets (or other supply chain
inconsistencies) in an iterative
and collaborative environment.",Demand Supply Balancing,"The process of identifying and measuring the gaps and imbalances between demand and resources in order to determine how to best resolve the variances through marketing, pricing, packaging, warehousing, outsource plans, or some other action that will optimise service, flexibility, costs, assets (or other supply chain inconsistencies) in an iterative and collaborative environment.",false
3247,DEMOGRAPHIC SEGMENTATION,"A market segmentation strategy
where the intended audience for a
given product is divided according
to geographic units, such as
nations, states, regions, counties,",Demographic Segmentation,"A market segmentation strategy where the intended audience for a given product is divided according to geographic units, such as nations, states, regions, counties, cities, or neighbourhoods.",false
3272,DEPRECIATION,"In accountancy, depreciation refers
to two aspects of the same concept:
1. the decrease in value of assets
(fair value depreciation), and
2. the allocation of the cost of
assets to periods in which the
assets are used (depreciation
with the matching principle).",Depreciation,A charge against earnings that does not involve a cash payment for the write off of the cost of an asset less salvage value over its estimated useful life. A variety of depreciation methods have been developed to specify the rate and amount of the write off for each fiscal period.,false
3278,DERIVED DEMAND,"Most companies sell to other companies.
Few manufacturing companies deliver
directly to the end user. For this reason,
developments in industrial markets
are often influenced by changes which
occur in the end-user markets.",Derived Demand,"A term in economics, where demand for one good or service occurs as a result of demand for another. This may occur as the former is a part of production of the second. For example, demand for coal leads to derived demand for mining, as coal must be mined for coal to be consumed.",false
3287,DESIGN AND CONSTRUCT (D&C),"Contractor designs and provides,
in accordance with the client's
requirements, plant and/or other Works.",Design and Construct (D&C),"Contractor designs and provides in accordance with the client’s requirements, plant and/or other works.",false
3288,Design And Construct (D&C),"Contractor designs and provides, in accordance with the client's requirements, plant and/or other Works.",Design and Construct (D&C),"Contractor designs and provides in accordance with the client’s requirements, plant and/or other works.",false
3312,Designated Sectors,"Sectors, sub-sectors or industries that have been designated by Government in line with national development and industrial policies for local production, where only locally produced services, works or goods or locally manufactured goods meet the stipulated minimum threshold for local production and content.",DESIGNATED SECTORS,"Sectors, sub-sectors or industries that have been designated by Government in line with national development and industrial policies for local production, where only locally produced services, works or goods or locally manufactured goods meet the stipulated minimum threshold for local production and content.",true
3339,Development Costs,Supplier's expenses in development of a design or a prototype to help the buyer decide whether the product conforming to this would meet his intended use. As part of a two-stage tendering procedure these costs will not be reimbursed by the buyer.,DEVELOPMENT COSTS,Supplier's expenses in development of a design or a prototype to help the buyer decide whether the product conforming to this would meet his intended use. As part of a two-stage tendering procedure these costs will not be reimbursed by the buyer.,true
3401,DIRECT MATERIALS,"All procured materials and services
that become part of the company's
value proposition. These include
raw materials, semi-manufactured
goods or half fabricated,
components and modules.",Direct Materials,"All purchased materials and services that become part of the company’s value proposition. These include raw materials, semi-manufactured goods or half fabricated, components and modules.",false
3404,Direct Procurement,Purchasing of all materials and products that are used for manufacturing companies' end products.,DIRECT PROCUREMENT,Purchasing of all materials and products that are used for manufacturing companies' end products.,true
3406,DIRECT PRODUCT COST (DPC),"DPC relates to all costs that can be allocated directly to the product (including the costs of materials handling, taking in return packaging, pricing, etc.).",Direct Product Cost (DPC),"DPC relates to all costs that can be allocated directly to the product (including the costs of materials handling, taking in return packaging, pricing, etc.).",true
3409,Direct Product Profitability (DPP),"Based upon sales price and direct product cost, the retail buyer determines the direct (net) profit margin per product (DPP).",DIRECT PRODUCT PROFITABILITY (DPP),"Based upon sales price and direct
product cost, the retail buyer
determines the direct (net) profit
margin per product (DPP).",false
3415,Direct Spend,"The procurement of goods and services that are directly related to a product being manufactured, they include amongst others, raw materials, associated services, etc.",DIRECT SPEND,"The procurement of goods and services that are directly related to a product being manufactured, they include amongst others, raw materials, associated services, etc.",true
3429,Disabled Employees-South Africa,Code of good practice on key Aspects of Disability in the workplace issued under section 54of the employment Equity Act.,DISABLED EMPLOYEES-SOUTH AFRICA,the meaning defined in the Code of good practice on key Aspects of Disability in the workplace issued under section 54of the employment Equity Act.,false
3439,Discount Recovery,"For products you put on sale, discount recovery refers to the increase in sales needed to produce the ""usual"" gross margin dollars the item generates.",DISCOUNT RECOVERY,"For products you put on sale, discount recovery refers to the increase in sales needed to produce the ""usual"" gross margin dollars the item generates.",true
3441,"DISCOUNT, GEOGRAPHICAL","This discount is given to customers
who are located close to the
supplier's factory or distribution
centre, making the transportation
227Glossary  | Discount, Promotional
| Some Useful Strategic Sourcing Related Terms
costs much lower than average. In
this way, a local supplier can keep
more distant suppliers away.","Discount, Geographical","This discount is given to customers who are located close to the supplier’s factory or distribution centre, making the transportation costs much lower than average. In this way a local supplier can keep more distant suppliers away.",false
3443,"DISCOUNT, PROMOTIONAL","This discount is provided to temporarily
stimulate the sale of a product, or, if it
concerns a new product, to lower the
entry barrier (special offer discount).","Discount, Promotional","This discount is provided to temporarily stimulate the sale of a product or, if it concerns a new product to lower the entry barrier (special offer discount).",false
3445,"DISCOUNT, QUANTITY","To stimulate larger quantity orders,
many suppliers use quantity discounts
in which the advantage for the buyer is
that it can realize a lower price  per unit.","Discount, Quantity",To stimulate larger quantity orders many suppliers use quantity discounts in which advantage for the buyer is that it can realise a lower price per unit.,false
3447,"DISCOUNT, SEASONAL","This discount is applied to improve
manufacturing capacity utilization in
periods when sales are low. Buyers
ordering out of season get a lower price.","Discount, Seasonal",This discount is applied to improve manufacturing capacity utilisation in periods when sales are low. Buyers ordering out of season get a lower price.,false
3491,Distributive Procurement,A set of purchasing activities that aims to ensure that inputs various parts of a value chain are on time and value for money.,DISTRIBUTIVE PROCUREMENT,A set of purchasing activities that aims to ensure that inputs various parts of a value chain are on time and value for money.,true
3525,DO OR BUY,"The term applied to the decision
on whether to own a process
that contributes to a product or
service, or, alternatively, outsource
the activity performed by the
process to another operation.",Do or Buy,"The term applied to the decision on whether to own a process that contributes to a product or service, or, alternatively, outsource the activity performed by the process to another operation.",false
3526,Do Or Buy,"The term applied to the decision on whether to own a process that contributes to a product or service, or, alternatively, outsource the activity performed by the process to another operation.",Do or Buy,"The term applied to the decision on whether to own a process that contributes to a product or service, or, alternatively, outsource the activity performed by the process to another operation.",true
3548,DOCUMENTATION,"The papers attached or pertaining
to goods requiring transportation
and/or transfer of ownership.
These may include the packing list,
hazardous materials declarations,
export/customs documents, etc.",Documentation,"The papers attached or pertaining to goods requiring transportation and/or transfer of ownership. These may include the packing list, hazardous materials declarations, export/customs documents, etc.",false
3552,DOD,Abbreviation for: Distribution on Demand and Direct Outward Dial.,DoD,Abbreviation for: Department of Defence (USA).,false
3682,Duly Signed Local Content,Officially declared Certificate for Local Content that has been signed by a duly authorised person of the organisation.,DULY SIGNED LOCAL CONTENT,"Officially declared Certificate for Local
Content that has been signed by a duly
authorised person of the organisation.DUPONT ANALYSIS
Financial diagnostic tool to calculate
the company's return on investment
based upon sales margin and capital
turnover ratio. Used to assess the
effect of a 2 purchasing saving on the
company's return on investment (ROI).",false
3695,DUTCH WINDMILL,"Combination of buyer's purchasing
portfolio and supplier's
customer portfolio, leading to 16
different business-to-business
relationships, each of which call
for a different sourcing strategy.",Dutch Windmill,"Combination of buyer’s purchasing portfolio and supplier’s customer portfolio, leading to 16 different business-to-business relationships, each of which call for a different sourcing strategy.",false
3713,DYADIC PERSPECTIVE,Contracts are closed based upon interests of buyer and seller only.,Dyadic Perspective,Contracts are closed based upon interests of buyer and seller only.,true
3717,Dynamic Discounting,"Dynamic discounting refers to the discounts allowed by a supplier to the buyer based on the dates of payment. Generally, sellers provide higher discounts for earlier payments. Dynamic discounting provides the buyers with the flexibility to choose when and how to make payments for",DYNAMIC DISCOUNTING,"Dynamic discounting refers to the discounts allowed by a supplier to the buyer based on the dates of payment. Generally, sellers provide higher discounts for earlier payments. Dynamic discounting provides the buyers with the flexibility to choose when and how to make payments for the goods and services purchased.",false
3722,Dynamic Reorder Point,Implies there is some system logic calculating the order point.,DYNAMIC REORDER POINT,Implies there is some system logic calculating the order point.,true
3748,Eap-South Africa,Economically Active population as determined and published by stats SA. eBid eBid is an online bidding system which eliminates traditional paper bids and replaces them with an electronic process via the internet.,EAP-SOUTH AFRICA,Economically Active population as determined and published by stats SA.,false
3783,ECONOMIC DEVELOPMENT,"Sustained increase in the economic
standard of living of the population
of a country (or any other defined
geographic region), normally
accomplished by increasing its
stocks of physical and human capital,
and by improving its technology.",Economic Development,"Sustained increase in the economic standard of living of the population of a country (or any other defined geographic region), normally accomplished by increasing its stocks of physical and human capital, and by improving its technology.",false
3786,ECONOMIC DIVERSIFICATION,"The development and growth of new
industries that are not a large part of a
state’s or region’s existing industries.",Economic Diversification,The development and growth of new industries that are not a large part of a state’s or region’s existing industries.,false
3789,Economic Interest,"claims against an Entity representing a return on ownership of the Entity similar in nature to a dividend right, measured using the flow- through and where applicable, the modified through principle.",ECONOMIC INTEREST,"claims against an Entity representing a return on ownership of the Entity similar in nature to a dividend right, measured using the flowthrough and where applicable, the modified through principle.",false
3792,ECONOMIC ORDER QUANTITY (EOQ),"That order quantity which gives lowest
total variable costs, including costs of
both procurement and stock holding.",Economic Order Quantity (EOQ),An inventory model that determines how much to order by determining the amount that will meet customer service levels while minimising total ordering and holding costs.,false
3872,ELECTRONIC DATA INTERCHANGE (EDI),"Defined as an interorganisational
exchange of business documentation in a
structured, machine-processable form.",Electronic Data Interchange (EDI),"Intercompany, computer-to-computer transmission of business information in a standard format.",false
3877,ELECTRONIC MARKETPLACE,"A marketplace on the Internet where, with the support of Internet technology, transactions between business-tobusiness partners can be made.",Electronic Marketplace,"Electronic communication platform enabling companies to communicate with their partners (suppliers and distributors) to facilitate business transactions, and to optimise economic performance. Electronic marketplaces are generally divided into three categories: 1. The “vertical” marketplaces bringing together all actors of a channel (for example, agri-food producers, distributors, and intermediaries, textile, chemicals, etc.). 2. The “horizontal” marketplaces bringing together companies located at the same stage of the value creation chain and belonging to the same business sector (for example, all distributors). 3. The “transverse” or “public” marketplaces to which any type of company can belong whatever their business sector (for example, a marketplace bringing together companies specialised in MRO products).",false
3882,Element South Africa,The measurable quantitative elements of B-BBEE compliance in the Generic scorecard and the Amended codes.,ELEMENT SOUTH AFRICA,the measurable quantitative elements of B-BBEE compliance in the Generic scorecard and the Amended codes.,false
3904,Emergency Acquisition,"A threat to public health, welfare, or safety that threatens the functioning of government, the protection of property or the health or safety of people.",EMERGENCY ACQUISITION,"A threat to public health, welfare, or safety that threatens the functioning of government, the protection of property or the health or safety of people.",true
3921,Employee Ownership Scheme,A worker or employee scheme in which employees have shares in a company.,EMPLOYEE OWNERSHIP SCHEME,A worker or employee scheme in which employees have shares in a company.,true
3923,Employee South Africa,"The meaning as defined in the Labour Relation Act 66 of 1995 as amended. For the avoidance of doubt, a member of the board who is not employed in the day to day management of an entity is not an employee of that entity notwithstanding the fact he/she may be remunerated or the performance of that function.",EMPLOYEE SOUTH AFRICA,"The meaning as defined in the Labour Relation Act 66 of 1995 as amended. For the avoidance of doubt, a member of the broad who is not employed in the day to day management of a entity is not an employee of that entity notwithstanding the fact he/she may be remunerated or the performance of that function.",false
3926,Employment Equity Act South Africa,"The Employment Equity Act 55 of 1998, as amended.",EMPLOYMENT EQUITY ACT SOUTH AFRICA,"The Employment Equity Act 55 of 1998, as amended.",true
3931,Empowerement,A term used in job design to indicate increasing the authority given to people to make decisions within the job or changes to the job itself.,EMPOWEREMENT,"A term used in job design to indicate
increasing the authority given to
people to make decisions within the
job or changes to the job itself.ENTERPRISE DEVELOPMENT",false
3968,Entity,"A legal entity, operates a business which includes identifying opportunities in the market, taking risks with a view of being rewarded with profits.",ENTITY,"A legal entity, operates a business which includes indentifying opportunities in the market, taking risks with a view of being rewarded with profits.",false
3971,Entrepreneur,"A person who starts and/ or operates a business which includes identification opportunities in the market, taking risks with a view of being rewarded with profits.",ENTREPRENEUR,"A person who starts and/ or operates a business which includes identification opportunities in the market, taking risks with a view of being rewarded with profits.",true
3995,Equal Or Approved Equal,"Used to indicate that an item may be substituted for a required item if it is equal in quality, performance and other characteristics.",EQUAL OR APPROVED EQUAL,"Used to indicate that an item may be substituted for a required item if it is equal in quality, performance and other characteristics.",true
4003,Equity Instrument South Africa,Instrument by which a participant holds rights of ownership in an entity.,EQUITY INSTRUMENT SOUTH AFRICA,Instrument by which a participant holds rights of ownership in an entity.,true
4006,Equivalent Percentage South Africa,Percentage ownership performance for all the indicators in the associated entity's ownership scorecard arising from a Qualifying transaction included in the ownership scorecard of the beneficiary entity.,EQUIVALENT PERCENTAGE SOUTH AFRICA,Percentage ownership performance for all the indicators in the associated entity’s ownership scorecard arising from a Qualifying transaction included in the ownership scorecard of the beneficiary entity.,false
4021,ESCALATION CLAUSE,"Represents a contract provision that permits the adjustment of contract prices by an amount or percent but only if certain specified contingencies occur, such as changes in the vendor's raw material or labour costs.",Escalation Clause,A contract clause permitting a specified increase in the price of goods or services in the event of certain conditions. Such a clause also specifies de-escalation.,false
4064,Evaluation Of Responses,"The examination of responses after opening to determine the vendor's responsibility, responsiveness to requirements, and other characteristics",EVALUATION OF RESPONSES,"The examination of responses after opening to determine the vendor's responsibility, responsiveness to requirements, and other characteristics of the solicitation relating to the award.",false
4101,EXPEDITING,"Following up on a purchase order to
make sure the supplier is going to
perform as it has confirmed through
the purchase order confirmation.
There are three types of expediting,
i.e. routine status check, advanced
status check and field expediting.",Expediting,Contacting a supplier or carrier with the goal of speeding up the delivery date of an inbound shipment.,false
4103,Expenditure South Africa,a. Procuring the service of or a labour broker; and b. Procuring the service of any person who receive any remuneration or to whom any remuneration accrues because of any services rendered by such to or on behalf of a labour broker.,EXPENDITURE SOUTH AFRICA,"Procuring the service of or
a labour broker; and
Procuring the service of any person
who receive any remuneration or
to whom any remuneration accrues
because of any services rendered by
such to or on behalf of a labour broker.",false
4137,EXTERNAL FACTORS,"Are those which determine the
degree of availability of a certain
product and which cannot be
influenced by individual companies.",External Factors,Determine the degree of availability of a certain product. These factors cannot be influenced by individual companies.,false
4140,EXTERNAL STRUCTURE,"External structure consists of a number
of links (companies, institutions)
231Glossary  | Facilities
| Some Useful Strategic Sourcing Related Terms
that are connected via markets.",External Structure,"External structure consists of a number of links (companies, institutions) that are connected via markets.",false
4164,FACILITIES,"Relate all the physical conditions
that enable an organisation to
conduct its primary activities.",Facilities,Relate to all the physical conditions that enable an organisation to conduct its primary activities.,false
4186,FAIR SHARE ALLOCATION,"An allocation of available inventory
to customer and inter plant orders,
when the availability is less than the
total required. If the total available
quantity is 80% of the total required,
it may allocate 80% of the amount
requested on each individual order,
instead of a scheme that prioritises
the availability based on the order
date, most important customer, etc.",Fair Share Allocation,"An allocation of available inventory to customer and inter plant orders, when the availability is less than the total required. If the total available quantity is 80% of the total required, it may allocate 80% of the amount requested on each individual order, instead of a scheme that prioritises the availability based on the order date, most important customer, etc.",false
4209,FAST,Abbreviation for: Free and Secure Trade.,Fast,Fastened or held firmly (fast aground: stuck on the seabed; made fast: tied securely).,false
4292,Fiduciary Duty,"An individual's obligation to serve the best interests of selected stakeholders, especially those of their employer.",FIDUCIARY DUTY,"An individual’s obligation to serve the best interests of selected stakeholders, especially those of their employer.",false
4305,FILL RATE,"The percentage of a customer’s order
that is filled on the first shipment. This can be represented as the percentage
of items, SKUs or order value that is
included with the first shipment.
(1—((total items—shipped
items) / total items)) * 100.",Fill Rate,The percentage of requisitions filled from stock present on the shelf. The opposite is: Stock out rate.,false
4312,Financial Savings Management,"Financial savings management includes every activity related to forecasting savings based on strategic sourcing plans, mapping savings to the budget and tracking of savings realization. Financial savings management provides a crystal clear view into function-specific savings projects and associated realized savings.",FINANCIAL SAVINGS MANAGEMENT,"Financial savings management includes every activity related to forecasting savings based on strategic sourcing plans, mapping savings to the budget and tracking of savings realization. Financial savings management provides a crystal clear view into function-specific savings projects and associated realized savings.",true
4349,First Cost Savings,Quoted price for the product or service per unit delivered.,FIRST COST SAVINGS,Quoted price for the product or service per unit delivered.,true
4387,FIXED PRICE CONTRACT,"A type of purchasing contract in which
the stated price does not change,
regardless of fluctuations in general
overall economic conditions, industry
competition, levels of supply, market
prices, or other environmental changes.",Fixed Price Contract,"A type of purchasing contract in which the stated price does not change, regardless of fluctuations in general overall economic conditions, industry competition, levels of supply, market prices, or other environmental changes.",false
4392,Fixed Reorder Point,Implies the reorder point is a static number plugged into the system.,FIXED REORDER POINT,Implies the reorder point is a static number plugged into the system.,true
4438,Flow-Through Principle South Africa,When determining the rights of ownership of any category of black people in a measured entity only the rights held by natural and juristic persons are measurable.. This principle applies across every tier of ownership in a multi-tiered chain of ownership until that chain ends with a black person holding rights of ownership.,FLOW-THROUGH PRINCIPLE SOUTH AFRICA,when measuring the rights of ownership of any category of black people in a measured entity only right held by natural persons are relevant. It the rights of ownership of black people pass through a juristic person are measurable. This principle applies across every tier of ownership in a multi-tiered chain of ownership until that chain ends with a black person holding rights of ownership.,false
