source_row_number,term,definition
13634,BTU (British Thermal Unit),"A common measure of performance for energy producing or energy consuming products, defined as the energy in heat form needed to raise the temperature of one pound of water by one degree Fahrenheit. See calorie."
13635,Bucket Brigade,"A method for coordinating workers along a pick or production line. Workers remain in sequence as each moves forward with her job along the line. When the last worker completes her job, she takes over the job of her predecessor, who then takes over the job of her predecessor, and so on. Until the first worker introduces a new job to the line."
11780,Budget Activity (BA),"Categories within each appropriation and fund account that identify the purposes, projects, or types of activities financed by the appropriation or fund."
11781,Budget Authority (BA),"Authority provided by law to enter into obligations that will result in immediate or future outlays. It may be classified by the period of availability, by the timing of congressional action, or by the manner of determining the amount available."
11782,Budget Estimate,Cost estimate prepared for inclusion in the DoD budget to support acquisition programs.
11783,Budget Message,A communication normally written by the chief executive that accompanies the budget estimate. Its purpose is to explain: (1) the main points of the budget; (2) the assumptions under which it was assembled; and (3) the major policy recommendations.
11784,Budget Surplus,"An excess of government revenues over government expenditures in a given time period. (Schiller, 2000)"
13432,Bulk Carriers,"All vessels designed to carry bulk homogeneous cargo without mark and count such as grain, fertilizers, ore, and oil."
11785,Bulk Purchasing,To purchase in volume with the expectation of reducing the unit price of an item. To aggregate quantities of material in hope of achieving deeper discounts and better pricing. Also see Bundling.
11786,Bull Market,"A market in which average stock prices are increasing or advancing. Market indicators for a bull market trend upward. Also see Bear Market. (Business, 2002)"
13636,Bull whip effect,"the observation in multi-echelon inventory systems that a small fluctuation in the demand per period at the retail end may result in a dramatic fluctuation in the amount demanded at the manufacturer, analogous to how a small flick of the wrist will cause the tip of a bull whip to move a great distance. The fluctuations in demand by the retailer on the supplier may be due to a number of reasons (e.g., order batching by the retailer if it uses a Q,r inventory model with a large Q, price changes by either the supplier or the retailer, or generally poor information sharing between the retailer and the supplier, so that the supplier is surprised by the large retailer demand when the retailer does a promotion)."
13469,Buoys,"Floats that warn of hazards such as rocks or shallow ground, to help ships maneuver through unfamiliar harbors."
11787,Bureau of Economic Analysis,"A federal agency of the U.S. Department of Commerce that generates the gross domestic product (GDP). The Commerce Department also calculates personal income, corporate profits, and the current account balance. For more information: www.bea.gov."
11788,Bureau of Labor Statistics,"A federal agency of the U.S. Labor Department that tracks all aspects of the labor market such as employment projections, unemployment numbers, employee compensation reports and a host of other labor related information. For more information"
11790,Burn-In,The operation of an item under stress to stabilize its characteristics.
11791,Business,"Any corporation, partnership, individual, sole proprietorship, joint stock company, joint venture, or any other private legal entity."
11792,Business Continuity Plan,See Continuity of Operations Plan (COOP).
11793,Business Interruption Insurance,"Commercial insurance protection for a business whose operations are interrupted because of a fire, storm, or other natural disaster. (Business, 2002)"
11794,Business Process Improvement (BPI),"A systematic approach to help organizations make significant change in the way they do business. (Business, 2002)"
11795,Business Process Outsourcing,"To carve out an internal business process such as IT (Information Technology) or HR (Human Resources) and outsource it to a private entity in an attempt to reduce costs and improve efficiency. (Miller, 2006)"
11796,Business Valuation,"Determines the price that a hypothetical buyer would pay for a business under a given set of circumstances. A business valuation is completed by an appraiser or a Certified Public Accountant using a combination of judgment, experience, and an understanding of generally accepted valuation principles. The two primary types of business valuations that are widely used are income valuations and asset valuations. Income statements and other financial and accounting records provide the basis for most business valuations. (www.freedictionary.com)"
11789,"Business, Cost Estimating, and Financial Management (BCEFM)","Functions include management of acquisition funds such as: cost estimating, formulation of input for the Program Objectives Memorandum (POM), the budget, and other programmatic or financial documentation of the Planning, Programming, Budgeting, and Execution (PPBE) process and budget execution (paying bills)."
11797,Buy American Act (U.S. Law),"Originally enacted in 1933, generally requires that the Federal Government buy for public use only raw materials mined or produced in the United States, and only manufactured items which are made in the United States, “substantially all from” materials or items mined, produced or manufactured in the United States. The act has several important exceptions. The general requirements are inapplicable if the items to be purchased are not available domestically, in commercial quantities of good quality, or if the cost of the domestic items is “unreasonable”, or if the head of the department otherwise determines it to be in the public interest to waive the requirement. (Burt, Dobler, Starling, 2003)."
11799,Buy Local,A bid preference which may be given to vendors doing business in the purchasing jurisdiction. Also see Bid Preference; Local Preference and Preference.
11798,Buy-in,"Submission of an offer, usually substantially below estimated costs, with the expectation of Winning the contract"
11800,Buyer,"A purchaser or procurer of products and services. This title may also refer to an individual who is responsible for the procurement activities of an entity. A job title within a procurement organization also commonly referred to as a Purchasing or Procurement Agent. Also see Agent, Principal and Law of Agency."
11803,Buyer-Seller Relationships,"There are three principal relationships between buyers and suppliers: Transactional: An arm’s–length relationship wherein neither party is concerned with the well-being of the other. Price is the focus of the relationship. Collaborative: A strategic relationship is created that results in the reduction of risk and uncertainty. This type of relationship creates interdependency and cooperation. Alliance: Relationship is based on institutional trust. Alliance partners share a vision of the future where ethics take precedence over expediency. (Business, 2002)"
11801,Buyer’s Option,"The contractual right, established in a purchase document, to buy an item or service at a fixed price within a specified time. Also see Option."
11802,Buyer’s Right of Routing,The right of the buyer to select the carrier to be used for shipment of goods when the buyer pays freight charges; the buyer’s right to name the carrier must be made part of the sales contract before shipment of goods if vendor prepays the freight.
11807,Buying (Seasonal) Calendar,"A buying plan which is designed to take advantage of lower seasonal prices, such a road ice chemicals in summer."
11804,Buying Allowance,"A temporary price reduction to resellers for purchasing specified quantities of a product. (ISM, 2000)"
11805,Buying Behavior,"The decision processes and actions of people who purchase and use products and services. The underlying motivational rationale for an individual’s buying decision. (Business, 2002)"
11806,Buying In,Knowingly submitting an offer or bid below the vendor’s anticipated cost with the expectation of increasing the contract amount after award through unnecessary or overpriced change orders. Commonly referred to as “low balling” a price. Also see Lowball.
11808,By-Law,"Most commonly refers to a city or municipal law or ordinance, passed under the authority of a charter or provincial/state law specifying what things may be regulated by the municipality. Also see Ordinances."
13361,C-SUITE,CORPORATE SUITE: Reference to executive management within an organisation.
13814,"C, B, A                 180-151=$29           151- 90=$61                      $90     Shapley value (average)     $58.5                       $61.5                    $60 See also",core of a game.
13641,c.d.f. (Cumulative Distribution Function),"The left tail probability of a distribution. For a given constant t and a random variable X, it is the probability that X ≤ t."
12062,C.P.M.,See Certified Purchasing Manager.
12064,C.P.P.,See Certified Professional Purchaser.
13500,CAAA Clean Air Act Amendments,"1990 amendments to the federal Clean Air Act which classify nonattainment areas and lay out rules for dealing with air pollution in such areas;
specifically brought transportation decisions into the context of air quality control."
13501,CAC Citizen Advisory Committee,Advisory committee utilized by most metropolitan planning organizations (MPOs) for citizen input into the transportation planning process.
13637,CAD (Computer Aided Design),"A software system that at a minimum has an ability to give and manipulate a graphical display of the product being designed. It usually also has analysis capability (e.g., the ability to determine whether a rack of a given design can in fact support a specified weight). This analysis capability is frequently based on FEA."
13638,CAFÉ (Corporate Average Fuel Economy),"In the U.S., the NHTSA (http://www.nhtsa.org) requires that the average fuel economy of all passenger vehicles sold by a manufacturer in the U.S. must achieve a specified minimum average fuel economy measured in miles per gallon. For model year 2000, the minima were 20.7 mpg for light trucks (e.g., “sport utility vehicles”), and 27.5 for cars. The harmonic mean is used in computing CAFE. The penalty for not achieving it is $5.50 for each tenth of a mpg by which a manufacturer falls short times the number vehicles sold."
13502,CAFE Corporate Average Fuel Economy Standards,Federal fuel efficiency standards for automobiles.
11809,Calendar of Events,"A chronology of dates that is significant to a project. In the procurement of services it reflects key events that will occur between the issuance of the RFP and the award of the contract. (Harney, 1992)"
13639,Call center,"A collection of agents staffing telephones. There are two major types of call centers, inbound and outbound. An inbound center handles calls arriving randomly from customers (e.g., ordering items from a catalog, reporting problems with your products, etc.) An outbound center originates calls to clients (e.g., soliciting new business, reporting problems with fulfilling their order, scheduling service visits, politely asking them to pay their account, etc.) See also: predictive dialing."
11811,Call up Number,CANADIAN The unique number of a requisition.
11810,Call-Up,"CANADIAN A requisition or a request for delivery which is forwarded directly to a supplier to obtain delivery of materiel from a previously negotiated contract, or a standing offer, in accordance with their terms. Also called Draw-down. Also see Period of Assignment."
13640,Calorie,"energy in heat form needed to raise the temperature of one gram of water by one degree Celsius. 1000 calories = 3.968 BTU. A note of caution, the unit of energy referred to in the popular press as a calorie, is usually a kilo-calorie."
11812,Canadian Council for Public-Private Partnerships (CCPPP),"An organization promoting the benefits of joint ventures between government and business. (Summit Magazine, On-Line)"
11813,Canadian General Standards Board (CGSB),"A federal government organization that offers client-centred, comprehensive standards development and conformity assessment services in support of the economic, regulatory, procurement, health, safety and environmental interests of our stakeholders—government, industry and consumers. For more information: www.pwgsc.gc.ca/cgsb/home/index-e.html"
11814,Canadian Government Catalogue System (CGCS),"The official system for civil departments of the Canadian government, by which items of materiel are uniformly named, classified, described, numbered and catalogued; used interchangeably with the NATO Codification System."
11815,Canadian International Trade Tribunal (CITT),"The main quasi-judicial institution in Canada’s trade remedy system with authority to conduct inquiries into complaints by potential suppliers concerning procurement by the federal government that is covered by the North American Free Trade Agreement, the Agreement on Internal Trade and the World Trade Organization Agreement on Government Procurement. Any potential suppliers who believe they may have been unfairly treated during the solicitation or evaluation of bids, or in the awarding of contracts on a designated procurement, may lodge a formal complaint with the Tribunal. The Tribunal deals with bid challenges on Canadian government contracts, arising under an international agreement. (www.citt.gc.ca)"
11816,Canadian Public Procurement Council (CPPC),An organization that represents public sector procurement professionals throughout Canada. (www.ccmp-cppc.qc.ca)
13385,Canceled B/L,B/L status; used to cancel a processed B/L; usually per shipper’s request; different from voided B/L.
11817,Cancellation of a Contract,"Occurs when the authority has determined that the contract should be terminated for cause, default or convenience. Also see Termination for Convenience and Termination for Default."
11818,Cancellation Request,"A request, by either party to a purchase agreement, to cancel the contract, often at no cost. Also see Discharge by Mutual Assent, Termination for Convenience and Termination for Default."
11819,Cannibalize,"A term used to describe the disassembly, dismantling, stripping or tearing down of buildings or equipment for salvage components or parts which may be used to repair, assemble, or re-build other equipment. A process used to extend the life cycle of equipment."
13503,CAP Commuter Assistance Program,Program funded by the U.S. Department of Transportation (DOT) which supports numerous congestion-reducing programs in a community in order to achieve the community’s traffic reduction and air quality goals.
11820,Capital Asset,An asset with a life cycle of more than one year with a value of more than a certain prescribed limit set by accounting standards or by governmental policy.
11821,Capital Budget,"A financial statement that estimates expenditures for major assets and an entities long-term financing needs. Governmental capital budgets generally reflect large asset expenditures for equipment and buildings over certain dollar thresholds. (Nash, Schooner, O’Brien, 1998)"
11822,Capital Equipment,"Assets listed on an organization’s accounting records that have value, usually can be depreciated, and are durable. (Schiller, 2000)"
11823,Capital Improvement Plan (CIP),"A multi-year plan that forecasts spending for anticipated capital projects and equipment purchases. A typical CIP includes the following steps: identify proposed projects; evaluate proposed projects simultaneously; produce a planning document that considers both financing sources and the timing of the projects; rank the projects based on agency need and perceived community need, determine net present value and/or internal rate of return on the investment; and analyze source of funding for projects, which may include: pay-as-you-go from current income – grants and debt financing – public/private ventures, including privatization or any other financing source. Also called Capital Improvement Program (CIP)."
11824,Capital Intensive,"Production processes that reflect a high ratio of capital to labor inputs. (Schiller, 2000)"
11825,Capital Lease,CANADIAN A lease that transfers substantially all the benefits and risks incident to ownership of the property to the lessee.
11826,Capital Project Funds,"Monies from revenues on long-term debt that are used to acquire major assets with a useful life of more than one year, which may be financed by some form of long-term debt."
11827,Cardinal Change,"A change that is beyond the scope of the contract, and thus cannot be ordered by the contracting officer under the contract’s change clause. Cardinal changes are breaches of contract. They are outside of the scope of the contract."
11828,Carrier’s Lien,A carrier’s claim on assets pending collection of freight cost or other charges.
11829,Cash Basis Accounting,"A financial managing tool that records income when cash is actually received, and records expenses when cash is paid out. Cash basis accounting does not conform with Generally Accepted Accounting Principals (GAAP) and is generally not considered a good financial management tool because there is a time differential between recording the cause of the action (sale or provision of a service) and its results (payment or receipt of money). Also see Accrual Basis Accounting."
11830,Cash Discount,"A reduction in the full cost of a good or service when payment is made within a specified period of time: e.g. 2% 10 net 30. Also see Discount, Payment Terms and Prompt Payment Discount."
11831,Cash Transfers,"Income transfers that entail direct cash payments to recipients, e.g. Social Security payments, welfare, unemployment benefits. (Schiller, 2000)"
11832,Cataloguing,"CANADIAN The various work processes that have to be performed in identifying, classifying, describing, and stock numbering an item of supply."
13357,CATEGORY TREE PRODUCT CLASSIFICATION,Based upon product or supply market characteristics. Basis for category sourcing strategies.
11833,Cause and Effect Diagrams,"Also known as fish-bone diagrams, they are quality control tools which show the possible cause of a problem. It is an aid to brainstorming and hypothesis generation. (Business, 2002)"
13504,CBD Central Business District,The area of a community with the most intense commercial and business development.
11834,CBO,Community-Based Organisations
11835,CCPPP,See Canadian Council for Public-Private Partnerships.
13642,Censored observation,"An observation is censored if it is only a bound on the actual value that one desires to observe. For example, sales data are usually censored observations of what we would really like to observe: demand data. This is because if a prospective customer sees that we are out-of-stock of the"
11836,Census Bureau,"A federal agency of the U.S. Commerce Department that provides access to census figures that can be helpful for supply management strategic planning. It lists a host of demographic data including median household income, education and population statistics. (www.census.gov)"
11837,Central Accounting System,"CANADIAN Part of the Canadian Government accounting system which collects, authenticates, validates, records, and reports all financial transactions of the Canadian Government."
13643,Central limit theorem,"The result that a sum of random variables has the Normal distribution in the limit as the number of random variables in the sum gets large, as long as the random variables are independent and have bounded variance."
11838,Centralized Purchasing,"An organizational structure where all of the rights, powers, duties and authority relating to purchasing are vested in the Chief Procurement Officer (CPO). While the CPO may often delegate some of these powers to others, the final authority nevertheless reside with the CPO. Example: Individual operating departments are permitted to release materials from blanket orders that have been issued by the Purchasing Department or they may use the agency’s Procurement Card to make individual purchases for their department. Also see Decentralized Purchasing."
11839,Cents per Hundred weight (Cwt.),Transportation/carrier rates are quoted in Cwt. which is determined by dividing the actual weight in pounds by 100.
11840,Certificate of Compliance,A document submitted by a vendor or manufacturer that provides the buyer with a written assurance that the goods or services delivered fulfill the contractual requirements.
11841,Certificate of Damage,"A supply management document prepared by the receiver of goods, establishing that the material delivered and received was damaged and includes a detailed description of the damage and the number of items damaged. May be used to file a damage claim with the carrier."
11842,Certificate of Non-Collusion,"A document that may be required, usually by public purchasers, affirming that the bid/offer is made freely and without collusion with another vendor. Sometimes included in the template of the invitation for bids."
11843,Certificates of Deposits (CDs),"Savings accounts that guarantee a depositor a set interest rate over a specified interval as long as the funds are not withdrawn before the end of the period—generally six months or one to five years. (Business, 2002)"
11844,Certification of Cost and Pricing Data,"Contractor certification that to the best of the contractor’s knowledge and belief, the cost or pricing data submitted was accurate, complete and current as of a mutually determined date prior to the date of the pricing of any contract, change order or modification."
11845,Certified Check,A financial instrument whose value is guaranteed by the financial institution upon which the check is drawn. May be required in lieu of a bid bond as a form of bid guarantee.
11846,Certified Professional in Supply Management (CPSM),A certification issued to qualified individuals by the Institute of Supply Management (ISM). The Certified Professional in Supply Management (CPSM) designation is the newest and enhanced designation for supply management professionals replacing the former Certified Purchasing Manager (C.P.M.) designation.
11847,Certified Professional Public Buyer (CPPB),"A certification program offered by the Universal Public Purchasing Certification Council (UPPCC). This designation certifies competency in the essential areas of public procurement at the buyer level through application and examination. Unlike other certification programs available in the purchasing field, UPPCC certifications are the only programs designed to meet the needs of purchasing professionals employed in the public sector. (www.uppcc.org)"
11848,Certified Professional Purchaser (C.P.P.),A designation issued by the Purchasing Management Association of Canada to those who have achieved specified professional qualifications. The Certified Professional Purchaser (C.P.P.) designation sets the national standard for excellence in supply chain management in Canada. (www.pmac.ca)
11849,Certified Public Procurement Officer (CPPO),"A certification program offered by the Universal Public Procurement Certification Council (UPPCC). This designation certifies competency in the essential areas of public procurement at the supervisory and/or management level through application and examination. Unlike other certification programs available in the purchasing field, UPPCC certifications are the only programs designed to meet the needs of purchasing professionals employed in the public sector. (www.uppcc.org)"
11850,Certified Purchasing Manager (C.P.M.),"A certification issued to qualified individuals by the Institute of Supply Management (ISM). The Certified Purchasing Manager (C.P.M.) designation is globally the most recognized designation for supply management professionals. The program focuses on managerial and leadership skills, plus a variety of specialized functions designed to enhance the value of the profession. (www.ism.ws)"
13445,CFR (Cost and Freight) (...Named Port of Destination),"A Term of Sale where the seller pays the costs and freight necessary to bring the goods to the named port of destination, Terms of Sale but the risk of loss of or damage to the goods, as (continued) well as any additional costs due to events occurring after the time the goods have been delivered on board the vessel, is transferred from the seller to the buyer when the goods pass the ship’s rail in the port of shipment. The CFR term requires the seller to clear the goods for export."
13505,CFR Code of Federal Regulations,Compilation of the rules of the executive department and agencies of the federal government.
11851,CGCS,See Canadian Government Catalogue System.
11852,CGSB,See Canadian General Standards Board.
11853,Chain of Command,"The line of authority that extends from the highest to the lowest levels of an organization. A hierarchical representation of the organization. May be depicted in an organizational chart. (Business, 2002)"
11854,Change Order Authority,"Some public agency contracts include the authority to unilaterally modify the current contract without express consent of the contractor. For example, certain supply contracts allow the agency to exceed purchase quantities within an agreed upon percentage range. Also see Amendment, Authorized Deviation, Change Order, Contract Modification and Modification."
11855,Changes Clause,"A contract clause that specifies the parameters of contract modifications that can be made. Example: Supply contracts typically limit the right to make changes to the method of delivery, place of delivery, or work statements (specifications)."
11856,Channel of Distribution (or Marketing Channel),"A sequence of marketing organizations that directs a product from the producer/manufacturer to the ultimate user/consumer. (Business, 2002)"
11857,Charette Process,"A public forum where the agency seeks the public’s input and to inform them of ideas and plans generally in upcoming construction projects. The public, as well as directly affected stakeholders, have the opportunity to voice their opinions and concerns during the development of the project scope of work and specifications in an effort to arrive at an optimum plan."
11858,Charge-Back,The process of charging the using agency for materials and supplies withdrawn from inventory or from a central stocking location.
11859,Chattel,"An article of personal, movable property."
11860,Checklist,"A form or table included in a solicitation document that identifies all critical information needed to fully comply with all of the requirements of the bidder to make a proper offer. (Harney, 1992)"
11861,Chief Procurement Officer (CPO),The person holding the position as head of the purchasing office in the agency or jurisdiction.
13644,Chimney stacked pallet,"A skid/pallet stacked so that all items have at least one face on the outside. This may leave an empty vertical core so that the skid looks like a chimney. The customer (e.g., a retailer) of the skid may request this form of stacking, so that the pallet can be quickly checked for contents when it arrives at the customer. There are no items hidden on the inside that can be seen only after the skid has been broken down."
11862,CIDB,Construction Industry Development Board
13446,"CIF (Cost, Insurance and Freight) (...Named Place of Destination)",A Term of Sale where the seller has the same obligations as under the CFR but also has to procure marine insurance against the buyer’s risk of loss or damage to the goods during the carriage. The seller contracts for insurance and pays the insurance premium. The CIF term requires the seller to clear the goods for export.
13448,CIP (Carriage and Insurance Paid To) (...Named Place of Destination),"A Term of Sale which means the seller has the same obligations as under CPT, but with the addition that the seller has to procure cargo insurance against the buyer’s risk of loss of or damage to the goods during the carriage. The seller contracts for insurance and pays the insurance premium. The buyer should note that under the CIP term the seller is required to obtain insurance only on minimum coverage. The CIP term requires the seller to clear the goods for export."
11863,CIPA,China Investment Promotion Agency
11864,CIPS,See Chartered Institute of Purchasing and Supply.
11865,Circular A-76 (OMB),The U.S. Office of Management & Budget (OMB) issued Circular A-76 which sets forth a methodology for conducting a make-or-buy decision including how to compute costs and how to make a cost comparison.
11866,Civil Law,A reference to that body of law affecting the relationship among individuals. Contract law is an example of civil law.
11867,Clarification,"A communication with an offeror for the sole purpose of eliminating minor irregularities or apparent clerical mistakes in a proposal; may be initiated by either offeror or purchaser; does not give offeror an opportunity to revise or modify its proposal, except to the extent the correction of apparent clerical mistakes results in revision."
11868,Class Award,See Award by Group.
11869,Class Code Number,"CANADIAN The number that identifies a property class which covers a relatively homogeneous grouping of commodities, grouped together with respect to their similarity of physical or performance characteristics, or grouped together since they are usually requisitioned, stored, and issued together."
11870,Clayton Act (The Clayton Anti-Trust Act) (U.S. Law),A 1914 supplement to the Sherman Anti-Trust Act. Regulates general business practices that may be detrimental to fair competition. Some of the business practices regulated by the Clayton Act are: price discrimination; exclusive dealing contracts; mergers and acquisitions and interlocking directorates. Also see Sherman Antitrust Act and Price Fixing.
13418,Clean,A letter of credit that requires the beneficiary to present only a draft or a receipt for specified funds before receiving payment.
13386,Clean B/L,A B/L which bears no superimposed clause or notation which declares a defective condition of the goods and/or the packaging.
11871,Clerical Mistake,A mistake of a contractor in a bid or proposal that results from a clerical error; often referred to as a “minor irregularity.” Such mistakes usually may be corrected within a specified period. Examples may include the misplacement of a decimal point or the reversal of prices.
11872,Click-and-Ship,"A sales operation where customers order products online and the product is shipped directly to the customer. On-line ordering of products used to facilitate Just-in-Time procurement. May be referred to as “Point-Click-Buy-Ship”. (Jansen, 2002)"
11873,Client Agency,"Identifies the name and address of the organization on whose behalf the bid request has been submitted. (Summit Magazine, On-Line)"
11874,Client/Server,"A relationship in which one computer program requests information from another computer program. The design model for applications running on a network. (Jansen, 2002)"
13645,CLM (Council of Logistics Management),Not-for-profit organization for professionals interested in logistics management. See http://www.clm1.org
11875,Closed Corporation,"A corporation whose stock is owned by relatively few people and is not sold to the general public. (Business, 2002)"
11876,Closing Date/Time,Refers to the date and time for bid closing. The latest date and time a bid will be accepted by the entity. Bids received after the closing time will be rejected as non-responsive.
11878,Co-Development,"Systems or subsystems cooperatively designed and developed in two or more countries. Shared responsibilities include design and engineering, and may be expanded to include applied research."
13656,Co-op advertising,"Advertising in which a retailer and a supplier share the cost of retail advertising. The reason for the sharing is that both the retailer and the supplier benefit from the advertising. Without the sharing, the retailer would advertise too little."
13646,Coase’s law,"Due to Ron Coase, states that a firm will get large in a vertically integrated sense , or do more activities internally rather than outsourcing them to the extent that it is cheaper to do the activities inhouse. Coase was originally impressed by the extreme vertical integration of firms such as Ford in the early 1900’s. Coase paid particular attention to three kinds of transaction costs associated with outsourcing an activity: 1) Search costs, finding an acceptable supplier, 2) Contracting costs, the cost of managing the contract, and 3) Coordination cost (e.g., how to efficiently share the right information). Coase was a professor at the University of Chicago Law School and won a Nobel Prize for this work."
13647,COD (Cash on Delivery),"An arrangement whereby the buyer pays for the goods upon delivery, in contrast to FOB."
11879,Code of Federal Regulations (CFR),The codification of the general and permanent rules published in the Federal Register by the Executive departments and agencies of the United States Federal Government.
13648,Code sharing,"An airline practice in which two airlines (e.g., United and Lufthansa) sell tickets for the same flight (product code), usually an intercontinental flight. United will market the flight in the U.S. Lufthansa will market it in Europe."
13649,COGS (Cost of Goods Sold),"An estimate of the cost of the goods sold in a period. This estimate may vary depending upon such things as whether LIFO rather than FIFO is used in accounting for inventory. Combinatorial auction: An auction in which bidders may bid on combinations of objects as well as individual objects. For example, if a buyer needs 500 square meters of contiguous space and the seller is selling a number of properties, each with 250 square meters of space, the buyer would bid on a pair of adjacent properties."
11880,Coincident Indicator,"A measure of economic activity that changes concurrently with changes in the business cycle. (ISM, 2000)"
11881,Coinsurance Clause,"A part of a fire insurance policy that requires the policyholder to purchase coverage at least equal to a specified percentage of the replacement cost of the property to obtain full reimbursement for losses. (Business, 2002)"
11882,COLA,See Cost-of-Living-Adjustment.
11883,Collaborative Learning System,"A work environment that allows problem-solving participation by all team members. Used by procurement managers to obtain a more participatory work environment. (Business, 2002)"
11884,Collusion,When two or more parties act together secretly to achieve a fraudulent or unlawful act. May manifest itself in the form of bid collusion when bidders secretly agree to unlawful practices regarding competitive bidding. May inhibit free and open competition in violation of antitrust laws. Also see Identical Bid.
11885,Collusive Bidding,A secret agreement among bidders/offerors to circumvent laws and regulation when submitting bids and offers in an attempt to win contracts by illegal means or methods.
11886,Combination Design and Performance Specification,"Specifications that incorporate, to the degree necessary, the attributes of both design and performance specifications."
13433,Combination Passenger and Cargo Vessels,Ships with a capacity for 13 or more passengers and any form of cargo or freight.
13387,Combined B/L,B/L that covers cargo moving over various transports.
11887,Combustible Liquid,"Any liquid having a flash point above 100 and below 200 degrees Fahrenheit as defined by the U.S. Department of Transportation (DOT). May create inventory and supply management issues. (Miller, 2006)"
11888,Command Economy,"A mode of economic organization in which key economic functions (what, how, and for whom) are principally determined by government directive. Sometimes called a centrally planned economy. (Schiller, 2000)"
11889,Commerce Business Daily (CBD),"A daily publication of the United States Department of Commerce listing U.S. Government solicitations, contract awards, subcontracting leads, sales of surplus property and foreign business opportunities. (U.S. Department of Commerce)"
11890,Commercial Law,"Principles and rules by which rights and obligations in commercial business transactions are determined, as found in the Uniform Commercial Code. (NASPO, 2001)"
11891,Commission Merchant,An agent or broker who buys or sells goods for others in return for a commission.
11892,Commitment Authority,"CANADIAN The authority delegated to appropriate officers to confirm before a commitment is entered into, as required under financial authority, that there is a sufficient unencumbered balance to discharge such commitment."
11893,Commodity Classification,"The schema that identifies commodities according to type, class, size, composition, or manufacturer."
11894,Commodity Group,"A grouping of related items, all of which can be further refined into additional commodity classes within the commodity group."
11896,Common Market,"A regional market with common external tariffs and free flow of labor and capital, without internal tariffs. (ISM, 2000)"
11897,Common Stock,"Stock owned by individuals or firms who may vote on corporate matters, but whose claims on profit and assets are subordinate to the claims of others. (Ferrell, Hirt, 2003)"
11895,Commonality,A quality that applies to materiel or systems possessing like and interchangeable characteristics enabling each to be utilized or operated and maintained by personnel trained on the others without additional specialized training; and/or having interchangeable repair parts and/or components. Applies to consumable items interchangeable without adjustment.
11898,Comparable Worth,"A concept that seeks equal compensation for jobs requiring the same level of education, training and skills. (Business, 2002)"
11899,Compensable Delays,"Compensation received by a contractor for increased cost as a result of a delay when the agency orders work to be suspended. Example: The agency hires a construction company to begin work on a new highway bridge. During the excavation portion of the project, the contractor found the remains of Indian artifacts and the project was put on hold until archeologists could assess the situation and collect the artifacts. As a result of this delay, which was ordered by the agency, this was a compensable delay to the contractor."
11900,Compensating Provision,Actions that are available or can be taken by an operator to negate or mitigate the effect of a system failure.
11901,Competent Parties,"Persons legally capable of entering into a contract. Must be of legal age, not be insane, etc. For a contract to be valid, both parties must be in a position to enter into a contract and be capable of doing so. (ISM, 2000)"
11902,Competition Code,CANADIAN A code describing whether or not the award process was competitive.
11903,Competitive Bid Solicitation,CANADIAN Solicitation of two or more qualified sources by invitation or public notice for the same requirements.
11904,Competitive Contract,CANADIAN A contract where the process used for the solicitation of bids assures that a reasonable and representative number of suppliers are given an opportunity to bid.
11905,Competitive Intelligence (CI),"CANADIAN Involves gathering and analyzing information about customers, competitors and the marketplace to support successful business decisions. (Summit Magazine, On-Line)"
11906,Competitive Market,"A particular market in which no buyer or seller has an advantage or possesses market power over a product or service. (Schiller, 2000)"
11907,Competitive Negotiations,"A procurement method for obtaining goods, services and construction for public use in which discussion and negotiations may be conducted with responsible offerors who submit responsive proposals. Also see Competitive Sealed Proposal."
11908,Competitive Proposals,A procedure used in negotiated procurement that concludes with awarding of a contract to the offeror whose offer is most advantageous to the government.
11909,Competitive Range,"That group of proposals, as determined during the evaluation process for competitive negotiation, which includes only those offerors considered to have a reasonable chance of being selected for award and who are therefore chosen for additional discussions and negotiations. Proposals not in the competitive range are given no further consideration."
11910,Competitive Re-engineering,"An outsourcing issue that allows the employees of a public agency the opportunity to re-design their work process in order to achieve efficiency and cost savings. This may be done prior to subjecting the targeted work function to competition against private contractors. (Business, 2002)"
11911,Competitive Sealed Bidding,"Preferred method for acquiring goods, services, and construction for public use in which award is made to the lowest responsive and responsible bidder, based solely on the response to the criteria set forth in the IFB; does not include discussions or negotiations with bidders. May also be referred to as formal advertised bid. Also see Formal Bid."
11912,Competitive Sealed Proposals,See Competitive Negotiation. Also see Competitive Sealed Bidding.
11913,Completion Bond,See Performance Bond.
11914,Completion Payment,Payment made upon successful completion of the work.
11915,Compliance Audit,"An audit conducted to determine the degree of compliance with established procedures and policies relative to accounting, financial and business processes."
11916,Composite Sample,A sample obtained by mixing together equal portions from several parts of the lot.
13650,Compound Poisson Distribution,"A generalization of the Poisson distribution. It is representative of a demand process in which the number of orders in a specified period has a Poisson distribution, but additionally, the number of units requested in each order is also a random variable having some specified distribution. If θ = mean number of orders received in a period and the number of units requested in each order has mean µ and standard deviation σ, then the number of units requested per period has mean θµ and variance θ(µ2 + σ 2). If θj is the mean number of orders of size j in a period, and Pn is the probability of total demand in units being equal to n in a period, then:"
11917,Compounding,The process of increasing the future worth of a present amount. An application of the principle that future worth is greater than present worth when viewed from the future as a result of the payment of interest
